reaction	g0
FACOAL171_anteiso_reverse	0
FACOAL180_2	-12.7
FACOAL180_2_reverse	12.7
FACOAL181	0
FACOAL181_reverse	0
FACOAL150_anteiso	0
FACOAL150_anteiso_reverse	0
FACOAL160	-13
FACOAL160_reverse	13
FACOAL160_ISO	0
FACOAL160_ISO_reverse	0
FACOAL161	0
FACOAL161_reverse	0
PUNP7	10.8
PUNP7_reverse	-10.8
PUNP8	18.2
PUNP8_reverse	-18.2
PUNP1	8.2
PUNP1_reverse	-8.2
PUNP2	9.8
PUNP2_reverse	-9.8
PBUTT	22.4
PBUTT_reverse	-22.4
TARTRDH2	37.2
TARTRDH2_reverse	-37.2
PUNP3	11.6
PUNP3_reverse	-11.6
PUNP4	17
PUNP4_reverse	-17
PGAMT	-3
PGAMT_reverse	3
PGMT	-7.4
PGMT_reverse	7.4
PGCD	31.4
PGCD_reverse	-31.4
GND	10.3
GND_reverse	-10.3
PGK	19.5
PGK_reverse	-19.5
PGM	-4.5
PGM_reverse	4.5
Fengycin	0
